,ID,D,E_Brent,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
45,45,1,20,0.155,0,0,0,0,1,0,-56483.5851,0,0,0,0.0,646604.3134,209877.2954,962178.052,32.89761992000001
46,46,1,25,0.155,0,0,0,0,1,0,-56483.5851,0,-108784.209,-108784.209,0.0,646604.3134,209877.2954,962178.052,32.89761992000001
47,47,1,30,0.155,0,0,0,0,1,0,-56483.5851,0,-98809.8114,-98809.8114,0.0,646604.3134,209877.2954,962178.052,32.89761992000001
48,48,1,35,0.155,0,0,0,0,1,0,-56483.5851,0,-88950.2444,-88950.2444,0.0,646604.3134,209877.2954,962178.052,32.89761992000001
49,49,1,40,0.155,0,0,0,0,1,0,-56483.5851,0,-78627.3065,-78627.3065,0.0,646604.3134,209877.2954,962178.052,32.89761992000001
50,50,1,45,0.155,0,0,0,0,1,0,-56483.5851,0,-68354.1007,-68354.1007,0.0,646604.3134,209877.2954,962178.052,32.89761992000001
51,51,1,50,0.155,0,0,0,0,1,0,-56483.5851,0,-57992.643,-57992.643,0.0,646604.3134,209877.2954,962178.052,32.89761992000001
52,52,1,55,0.155,0,0,0,0,1,0,-56483.5851,0,-47670.8804,-47670.8804,0.0,646604.3134,209877.2954,962178.052,32.89761992000001
53,53,1,60,0.155,0,0,0,0,1,0,-56483.5851,0,-37209.9632,-37209.9632,0.0,646604.3134,209877.2954,962178.052,32.89761992000001
54,54,1,20,0.25,0,0,0,0,1,0,-59714.5867,0,0,0,0.0,646604.3134,209877.2954,1018397.05,32.89761992000001
55,55,1,25,0.25,0,0,0,0,1,0,-59714.5867,0,0,0,0.0,646604.3134,209877.2954,1018397.05,32.89761992000001
56,56,1,30,0.25,0,0,0,0,1,0,-59714.5867,0,-101675.226,-101675.226,0.0,646604.3134,209877.2954,1018397.05,32.89761992000001
57,57,1,35,0.25,0,0,0,0,1,0,-59714.5867,0,-91966.997,-91966.997,0.0,646604.3134,209877.2954,1018397.05,32.89761992000001
58,58,1,40,0.25,0,0,0,0,1,0,-59714.5867,0,-81728.533,-81728.533,0.0,646604.3134,209877.2954,1018397.05,32.89761992000001
59,59,1,45,0.25,0,0,0,0,1,0,-59714.5867,0,-71524.0438,-71524.0438,0.0,646604.3134,209877.2954,1018397.05,32.89761992000001
60,60,1,50,0.25,0,0,0,0,1,0,-59714.5867,0,-61341.3957,-61341.3957,0.0,646604.3134,209877.2954,1018397.05,32.89761992000001
61,61,1,55,0.25,0,0,0,0,1,0,-59714.5867,0,-50937.5645,-50937.5645,0.0,646604.3134,209877.2954,1018397.05,32.89761992000001
62,62,1,60,0.25,0,0,0,0,1,0,-59714.5867,0,-40602.6721,-40602.6721,0.0,646604.3134,209877.2954,1018397.05,32.89761992000001
63,63,1,20,0.43,0,0,0,0,1,0,-65764.382,0,0,0,0.0,646604.3134,209877.2954,1124917.2567,32.89761992000001
64,64,1,25,0.43,0,0,0,0,1,0,-65764.382,0,0,0,0.0,646604.3134,209877.2954,1124917.2567,32.89761992000001
65,65,1,30,0.43,0,0,0,0,1,0,-65764.382,0,-106979.0442,-106979.0442,0.0,646604.3134,209877.2954,1124917.2567,32.89761992000001
66,66,1,35,0.43,0,0,0,0,1,0,-65764.382,0,-97319.6486,-97319.6486,0.0,646604.3134,209877.2954,1124917.2567,32.89761992000001
67,67,1,40,0.43,0,0,0,0,1,0,-65764.382,0,-87509.1962,-87509.1962,0.0,646604.3134,209877.2954,1124917.2567,32.89761992000001
68,68,1,45,0.43,0,0,0,0,1,0,-65764.382,0,-77450.8941,-77450.8941,0.0,646604.3134,209877.2954,1124917.2567,32.89761992000001
69,69,1,50,0.43,0,0,0,0,1,0,-65764.382,0,-67244.4428,-67244.4428,0.0,646604.3134,209877.2954,1124917.2567,32.89761992000001
70,70,1,55,0.43,0,0,0,0,1,0,-65764.382,0,-57069.6952,-57069.6952,0.0,646604.3134,209877.2954,1124917.2567,32.89761992000001
71,71,1,60,0.43,0,0,0,0,1,0,-65764.382,0,-46693.0863,-46693.0863,0.0,646604.3134,209877.2954,1124917.2567,32.89761992000001
72,72,1,20,0.06,0,0,0,1,0,0,-26910.8929,0,-231837.232,-231837.232,0.0,1007936.2668,209877.2954,1449439.9823,65.71882609600006
73,73,1,25,0.06,0,0,0,1,0,0,-26910.8929,0,-200164.8036,-200164.8036,0.0,1007936.2668,209877.2954,1449439.9823,65.71882609600006
74,74,1,30,0.06,0,0,0,1,0,0,-26910.8929,0,-167451.8518,-167451.8518,0.0,1007936.2668,209877.2954,1449439.9823,65.71882609600006
75,75,1,35,0.06,0,0,0,1,0,0,-26910.8929,0,-133887.7877,-133887.7877,0.0,1007936.2668,209877.2954,1449439.9823,65.71882609600006
76,76,1,40,0.06,0,0,0,1,0,0,-26910.8929,0,-100238.1471,-100238.1471,0.0,1007936.2668,209877.2954,1449439.9823,65.71882609600006
77,77,1,45,0.06,0,0,0,1,0,0,-26910.8929,0,-65999.9708,-65999.9708,0.0,1007936.2668,209877.2954,1449439.9823,65.71882609600006
78,78,1,50,0.06,0,0,0,1,0,0,-26910.8929,0,-31906.6262,-31906.6262,0.0,1007936.2668,209877.2954,1449439.9823,65.71882609600006
79,79,1,55,0.06,0,0,0,1,0,0,-26910.8929,0,2286.5477,2286.5477,0.009589011314844234,1007936.2668,209877.2954,1449439.9823,65.71882609600006
80,80,1,60,0.06,0,0,0,1,0,0,-26910.8929,0,36138.9503,36138.9503,0.15260028140600027,1007936.2668,209877.2954,1449439.9823,65.71882609600006
81,81,1,20,0.155,0,0,0,1,0,0,-35570.3247,0,-238274.3039,-238274.3039,0.0,1007936.2668,209877.2954,1558114.2004,65.71882609600006
82,82,1,25,0.155,0,0,0,1,0,0,-35570.3247,0,-208217.0388,-208217.0388,0.0,1007936.2668,209877.2954,1558114.2004,65.71882609600006
83,83,1,30,0.155,0,0,0,1,0,0,-35570.3247,0,-175240.7617,-175240.7617,0.0,1007936.2668,209877.2954,1558114.2004,65.71882609600006
84,84,1,35,0.155,0,0,0,1,0,0,-35570.3247,0,-142473.1372,-142473.1372,0.0,1007936.2668,209877.2954,1558114.2004,65.71882609600006
85,85,1,40,0.155,0,0,0,1,0,0,-35570.3247,0,-108600.1862,-108600.1862,0.0,1007936.2668,209877.2954,1558114.2004,65.71882609600006
86,86,1,45,0.155,0,0,0,1,0,0,-35570.3247,0,-74807.6668,-74807.6668,0.0,1007936.2668,209877.2954,1558114.2004,65.71882609600006
87,87,1,50,0.155,0,0,0,1,0,0,-35570.3247,0,-40785.2111,-40785.2111,0.0,1007936.2668,209877.2954,1558114.2004,65.71882609600006
88,88,1,55,0.155,0,0,0,1,0,0,-35570.3247,0,-6635.1722,-6635.1722,0.0,1007936.2668,209877.2954,1558114.2004,65.71882609600006
89,89,1,60,0.155,0,0,0,1,0,0,-35570.3247,0,27587.0447,27587.0447,0.11569077896045853,1007936.2668,209877.2954,1558114.2004,65.71882609600006
90,90,1,20,0.25,0,0,0,1,0,0,-44411.2589,0,-244474.8257,-244474.8257,0.0,1007936.2668,209877.2954,1666788.4186,65.71882609600006
91,91,1,25,0.25,0,0,0,1,0,0,-44411.2589,0,-215297.906,-215297.906,0.0,1007936.2668,209877.2954,1666788.4186,65.71882609600006
92,92,1,30,0.25,0,0,0,1,0,0,-44411.2589,0,-183509.4156,-183509.4156,0.0,1007936.2668,209877.2954,1666788.4186,65.71882609600006
93,93,1,35,0.25,0,0,0,1,0,0,-44411.2589,0,-150468.0405,-150468.0405,0.0,1007936.2668,209877.2954,1666788.4186,65.71882609600006
94,94,1,40,0.25,0,0,0,1,0,0,-44411.2589,0,-116850.8587,-116850.8587,0.0,1007936.2668,209877.2954,1666788.4186,65.71882609600006
95,95,1,45,0.25,0,0,0,1,0,0,-44411.2589,0,-83242.627,-83242.627,0.0,1007936.2668,209877.2954,1666788.4186,65.71882609600006
96,96,1,50,0.25,0,0,0,1,0,0,-44411.2589,0,-49357.5494,-49357.5494,0.0,1007936.2668,209877.2954,1666788.4186,65.71882609600006
97,97,1,55,0.25,0,0,0,1,0,0,-44411.2589,0,-15304.7062,-15304.7062,0.0,1007936.2668,209877.2954,1666788.4186,65.71882609600006
98,98,1,60,0.25,0,0,0,1,0,0,-44411.2589,0,18839.3035,18839.3035,0.07900569694509232,1007936.2668,209877.2954,1666788.4186,65.71882609600006
99,99,1,20,0.43,0,0,0,1,0,0,-60501.0821,0,-254454.7854,-254454.7854,0.0,1007936.2668,209877.2954,1872697.4635,65.71882609600006
100,100,1,25,0.43,0,0,0,1,0,0,-60501.0821,0,-227214.5864,-227214.5864,0.0,1007936.2668,209877.2954,1872697.4635,65.71882609600006
101,101,1,30,0.43,0,0,0,1,0,0,-60501.0821,0,-196804.4458,-196804.4458,0.0,1007936.2668,209877.2954,1872697.4635,65.71882609600006
102,102,1,35,0.43,0,0,0,1,0,0,-60501.0821,0,-165300.9142,-165300.9142,0.0,1007936.2668,209877.2954,1872697.4635,65.71882609600006
103,103,1,40,0.43,0,0,0,1,0,0,-60501.0821,0,-132181.3615,-132181.3615,0.0,1007936.2668,209877.2954,1872697.4635,65.71882609600006
104,104,1,45,0.43,0,0,0,1,0,0,-60501.0821,0,-98991.6196,-98991.6196,0.0,1007936.2668,209877.2954,1872697.4635,65.71882609600006
105,105,1,50,0.43,0,0,0,1,0,0,-60501.0821,0,-65399.6023,-65399.6023,0.0,1007936.2668,209877.2954,1872697.4635,65.71882609600006
106,106,1,55,0.43,0,0,0,1,0,0,-60501.0821,0,-31566.302,-31566.302,0.0,1007936.2668,209877.2954,1872697.4635,65.71882609600006
107,107,1,60,0.43,0,0,0,1,0,0,-60501.0821,0,2186.8268,2186.8268,0.009170815550917323,1007936.2668,209877.2954,1872697.4635,65.71882609600006
108,108,1,20,0.06,0,0,0,1,1,0,-76755.8038,0,-346332.67,-346332.67,0.0,1654540.5802,209877.2954,2145521.7408,98.61644601600007
109,109,1,25,0.06,0,0,0,1,1,0,-76755.8038,0,-302794.0067,-302794.0067,0.0,1654540.5802,209877.2954,2145521.7408,98.61644601600007
110,110,1,30,0.06,0,0,0,1,1,0,-76755.8038,0,-260064.8949,-260064.8949,0.0,1654540.5802,209877.2954,2145521.7408,98.61644601600007
111,111,1,35,0.06,0,0,0,1,1,0,-76755.8038,0,-216212.8458,-216212.8458,0.0,1654540.5802,209877.2954,2145521.7408,98.61644601600007
112,112,1,40,0.06,0,0,0,1,1,0,-76755.8038,0,-171893.2947,-171893.2947,0.0,1654540.5802,209877.2954,2145521.7408,98.61644601600007
113,113,1,45,0.06,0,0,0,1,1,0,-76755.8038,0,-127683.3288,-127683.3288,0.0,1654540.5802,209877.2954,2145521.7408,98.61644601600007
114,114,1,50,0.06,0,0,0,1,1,0,-76755.8038,0,-83262.7875,-83262.7875,0.0,1654540.5802,209877.2954,2145521.7408,98.61644601600007
115,115,1,55,0.06,0,0,0,1,1,0,-76755.8038,0,-38969.3632,-38969.3632,0.0,1654540.5802,209877.2954,2145521.7408,98.61644601600007
116,116,1,60,0.06,0,0,0,1,1,0,-76755.8038,0,419.1854,419.1854,0.016662075713455824,1654540.5802,209877.2954,2145521.7408,98.61644601600007
117,117,1,20,0.155,0,0,0,1,1,0,-88736.9877,0,-354896.8054,-354896.8054,0.0,1654540.5802,209877.2954,2310414.9569,98.61644601600007
118,118,1,25,0.155,0,0,0,1,1,0,-88736.9877,0,-313967.3467,-313967.3467,0.0,1654540.5802,209877.2954,2310414.9569,98.61644601600007
119,119,1,30,0.155,0,0,0,1,1,0,-88736.9877,0,-270948.9152,-270948.9152,0.0,1654540.5802,209877.2954,2310414.9569,98.61644601600007
120,120,1,35,0.155,0,0,0,1,1,0,-88736.9877,0,-227526.3523,-227526.3523,0.0,1654540.5802,209877.2954,2310414.9569,98.61644601600007
121,121,1,40,0.155,0,0,0,1,1,0,-88736.9877,0,-183942.051,-183942.051,0.0,1654540.5802,209877.2954,2310414.9569,98.61644601600007
122,122,1,45,0.155,0,0,0,1,1,0,-88736.9877,0,-139875.3278,-139875.3278,0.0,1654540.5802,209877.2954,2310414.9569,98.61644601600007
123,123,1,50,0.155,0,0,0,1,1,0,-88736.9877,0,-95536.4996,-95536.4996,0.0,1654540.5802,209877.2954,2310414.9569,98.61644601600007
124,124,1,55,0.155,0,0,0,1,1,0,-88736.9877,0,-51044.5418,-51044.5418,0.0,1654540.5802,209877.2954,2310414.9569,98.61644601600007
125,125,1,60,0.155,0,0,0,1,1,0,-88736.9877,0,-10092.2998,-10092.2998,0.0,1654540.5802,209877.2954,2310414.9569,98.61644601600007
126,126,1,20,0.25,0,0,0,1,1,0,-100960.0815,0,-331898.3076,-331898.3076,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
127,127,1,25,0.25,0,0,0,1,1,0,-100960.0815,0,-323756.7311,-323756.7311,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
128,128,1,30,0.25,0,0,0,1,1,0,-100960.0815,0,-281607.5112,-281607.5112,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
129,129,1,35,0.25,0,0,0,1,1,0,-100960.0815,0,-238665.5752,-238665.5752,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
130,130,1,40,0.25,0,0,0,1,1,0,-100960.0815,0,-195408.5483,-195408.5483,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
131,131,1,45,0.25,0,0,0,1,1,0,-100960.0815,0,-151577.6779,-151577.6779,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
132,132,1,50,0.25,0,0,0,1,1,0,-100960.0815,0,-107401.4964,-107401.4964,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
133,133,1,55,0.25,0,0,0,1,1,0,-100960.0815,0,-63037.0077,-63037.0077,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
134,134,1,60,0.25,0,0,0,1,1,0,-100960.0815,0,-20670.8178,-20670.8178,0.0,1654540.5802,209877.2954,2475308.1731,98.61644601600007
135,135,1,20,0.43,0,0,0,1,1,0,-123268.5183,0,0,0,0.0,1654540.5802,209877.2954,2787737.4248,98.61644601600007
136,136,1,25,0.43,0,0,0,1,1,0,-123268.5183,0,-342862.0075,-342862.0075,0.0,1654540.5802,209877.2954,2787737.4248,98.61644601600007
137,137,1,30,0.43,0,0,0,1,1,0,-123268.5183,0,-302298.6241,-302298.6241,0.0,1654540.5802,209877.2954,2787737.4248,98.61644601600007
138,138,1,35,0.43,0,0,0,1,1,0,-123268.5183,0,-260142.1955,-260142.1955,0.0,1654540.5802,209877.2954,2787737.4248,98.61644601600007
139,139,1,40,0.43,0,0,0,1,1,0,-123268.5183,0,-216794.7786,-216794.7786,0.0,1654540.5802,209877.2954,2787737.4248,98.61644601600007
140,140,1,45,0.43,0,0,0,1,1,0,-123268.5183,0,-173462.1098,-173462.1098,0.0,1654540.5802,209877.2954,2787737.4248,98.61644601600007
141,141,1,50,0.43,0,0,0,1,1,0,-123268.5183,0,-129646.0209,-129646.0209,0.0,1654540.5802,209877.2954,2787737.4248,98.61644601600007
142,142,1,55,0.43,0,0,0,1,1,0,-123268.5183,0,-85539.076,-85539.076,0.0,1654540.5802,209877.2954,2787737.4248,98.61644601600007
143,143,1,60,0.43,0,0,0,1,1,0,-123268.5183,0,-41574.3464,-41574.3464,0.0,1654540.5802,209877.2954,2787737.4248,98.61644601600007
144,144,1,20,0.06,0,0,1,0,0,0,14003.4835,0,-106060.2925,-106060.2925,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
145,145,1,25,0.06,0,0,1,0,0,0,14003.4835,0,-87438.4052,-87438.4052,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
146,146,1,30,0.06,0,0,1,0,0,0,14003.4835,0,-68394.5435,-68394.5435,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
147,147,1,35,0.06,0,0,1,0,0,0,14003.4835,0,-48660.7915,-48660.7915,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
148,148,1,40,0.06,0,0,1,0,0,0,14003.4835,0,-28904.6168,-28904.6168,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
149,149,1,45,0.06,0,0,1,0,0,0,14003.4835,0,-8973.7952,-8973.7952,0.0,370746.688,209877.2954,686182.1766,26.87694643199999
150,150,1,50,0.06,0,0,1,0,0,0,14003.4835,0,11065.4005,11065.4005,0.09313761366469327,370746.688,209877.2954,686182.1766,26.87694643199999
151,151,1,55,0.06,0,0,1,0,0,0,14003.4835,0,31062.5318,31062.5318,0.2614537176839446,370746.688,209877.2954,686182.1766,26.87694643199999
152,152,1,60,0.06,0,0,1,0,0,0,14003.4835,0,51223.663,51223.663,0.43115021015852667,370746.688,209877.2954,686182.1766,26.87694643199999
153,153,1,20,0.155,0,0,1,0,0,0,8418.0527,0,-110100.0386,-110100.0386,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
154,154,1,25,0.155,0,0,1,0,0,0,8418.0527,0,-91929.1773,-91929.1773,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
155,155,1,30,0.155,0,0,1,0,0,0,8418.0527,0,-73180.6994,-73180.6994,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
156,156,1,35,0.155,0,0,1,0,0,0,8418.0527,0,-53899.5549,-53899.5549,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
157,157,1,40,0.155,0,0,1,0,0,0,8418.0527,0,-34290.791,-34290.791,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
158,158,1,45,0.155,0,0,1,0,0,0,8418.0527,0,-14463.0832,-14463.0832,0.0,370746.688,209877.2954,744773.1017,26.87694643199999
159,159,1,50,0.155,0,0,1,0,0,0,8418.0527,0,5500.5218,5500.5218,0.04629796097166472,370746.688,209877.2954,744773.1017,26.87694643199999
160,160,1,55,0.155,0,0,1,0,0,0,8418.0527,0,25548.4726,25548.4726,0.21504181223049929,370746.688,209877.2954,744773.1017,26.87694643199999
161,161,1,60,0.155,0,0,1,0,0,0,8418.0527,0,45543.9707,45543.9707,0.38334416873384203,370746.688,209877.2954,744773.1017,26.87694643199999
162,162,1,20,0.25,0,0,1,0,0,0,3058.7466,0,-113951.5158,-113951.5158,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
163,163,1,25,0.25,0,0,1,0,0,0,3058.7466,0,-96259.0284,-96259.0284,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
164,164,1,30,0.25,0,0,1,0,0,0,3058.7466,0,-77844.5505,-77844.5505,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
165,165,1,35,0.25,0,0,1,0,0,0,3058.7466,0,-58789.8807,-58789.8807,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
166,166,1,40,0.25,0,0,1,0,0,0,3058.7466,0,-39362.3319,-39362.3319,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
167,167,1,45,0.25,0,0,1,0,0,0,3058.7466,0,-19688.9471,-19688.9471,0.0,370746.688,209877.2954,803364.0268,26.87694643199999
168,168,1,50,0.25,0,0,1,0,0,0,3058.7466,0,154.1692,154.1692,0.0012976437479107397,370746.688,209877.2954,803364.0268,26.87694643199999
169,169,1,55,0.25,0,0,1,0,0,0,3058.7466,0,19974.8389,19974.8389,0.16812846783513247,370746.688,209877.2954,803364.0268,26.87694643199999
170,170,1,60,0.25,0,0,1,0,0,0,3058.7466,0,40031.5447,40031.5447,0.3369460107963048,370746.688,209877.2954,803364.0268,26.87694643199999
171,171,1,20,0.43,0,0,1,0,0,0,-7076.3227,0,-120183.6651,-120183.6651,0.0,370746.688,209877.2954,914378.4112,26.87694643199999
172,172,1,25,0.43,0,0,1,0,0,0,-7076.3227,0,-104147.398,-104147.398,0.0,370746.688,209877.2954,914378.4112,26.87694643199999
173,173,1,30,0.43,0,0,1,0,0,0,-7076.3227,0,-86013.7038,-86013.7038,0.0,370746.688,209877.2954,914378.4112,26.87694643199999
174,174,1,35,0.43,0,0,1,0,0,0,-7076.3227,0,-67806.3372,-67806.3372,0.0,370746.688,209877.2954,914378.4112,26.87694643199999
175,175,1,40,0.43,0,0,1,0,0,0,-7076.3227,0,-48708.6072,-48708.6072,0.0,370746.688,209877.2954,914378.4112,26.87694643199999
176,176,1,45,0.43,0,0,1,0,0,0,-7076.3227,0,-29327.5834,-29327.5834,0.0,370746.688,209877.2954,914378.4112,26.87694643199999
177,177,1,50,0.43,0,0,1,0,0,0,-7076.3227,0,-9926.9514,-9926.9514,0.0,370746.688,209877.2954,914378.4112,26.87694643199999
178,178,1,55,0.43,0,0,1,0,0,0,-7076.3227,0,9873.379,9873.379,0.08310435419642402,370746.688,209877.2954,914378.4112,26.87694643199999
179,179,1,60,0.43,0,0,1,0,0,0,-7076.3227,0,29621.063,29621.063,0.24932085666005052,370746.688,209877.2954,914378.4112,26.87694643199999
180,180,1,20,0.06,0,0,1,0,1,0,-35124.5492,0,-157563.83,-157563.83,0.0,1017351.0014,209877.2954,1382263.935,59.774566352
181,181,1,25,0.06,0,0,1,0,1,0,-35124.5492,0,-190917.4206,-190917.4206,0.0,1017351.0014,209877.2954,1382263.935,59.774566352
182,182,1,30,0.06,0,0,1,0,1,0,-35124.5492,0,-160859.9516,-160859.9516,0.0,1017351.0014,209877.2954,1382263.935,59.774566352
183,183,1,35,0.06,0,0,1,0,1,0,-35124.5492,0,-130720.7753,-130720.7753,0.0,1017351.0014,209877.2954,1382263.935,59.774566352
184,184,1,40,0.06,0,0,1,0,1,0,-35124.5492,0,-100542.1616,-100542.1616,0.0,1017351.0014,209877.2954,1382263.935,59.774566352
185,185,1,45,0.06,0,0,1,0,1,0,-35124.5492,0,-70132.7381,-70132.7381,0.0,1017351.0014,209877.2954,1382263.935,59.774566352
186,186,1,50,0.06,0,0,1,0,1,0,-35124.5492,0,-39597.4854,-39597.4854,0.0,1017351.0014,209877.2954,1382263.935,59.774566352
187,187,1,55,0.06,0,0,1,0,1,0,-35124.5492,0,-12000.3935,-12000.3935,0.0,1017351.0014,209877.2954,1382263.935,59.774566352
